Designator,Mid X,Mid Y,Rotation,Layer
D1,24.99,-82.225,180.0,top
D10,86.85,-84.725,180.0,top
D11,105.85,-84.725,180.0,top
D12,124.85,-84.725,180.0,top
D13,179.62,-81.325,0.0,top
D14,198.67,-81.325,0.0,top
D15,217.72,-81.325,0.0,top
D16,236.94,-81.325,0.0,top
D17,255.82,-81.325,0.0,top
D18,274.87,-81.325,0.0,top
D19,174.76,-83.825,0.0,top
D2,43.99,-82.225,180.0,top
D20,193.81,-83.825,0.0,top
D21,212.86,-83.825,0.0,top
D22,232.08,-83.825,0.0,top
D23,250.96,-83.825,0.0,top
D24,270.01,-83.825,0.0,top
D25,91.27,-96.725,180.0,top
D26,110.27,-96.725,180.0,top
D27,129.27,-96.725,180.0,top
D28,179.32,-96.725,0.0,top
D29,198.77,-96.225,0.0,top
D3,62.99,-82.225,180.0,top
D30,217.27,-96.225,0.0,top
D4,81.99,-82.225,180.0,top
D5,100.99,-82.225,180.0,top
D6,119.99,-82.225,180.0,top
D7,29.85,-84.725,180.0,top
D8,48.85,-84.725,180.0,top
D9,67.85,-84.725,180.0,top
S1,29.54,-51.5,0.0,top
S10,86.69,-70.55,0.0,top
S11,105.74,-70.55,0.0,top
S12,124.79,-70.55,0.0,top
S13,174.955,-51.5,0.0,top
S14,194.005,-51.5,0.0,top
S15,213.055,-51.5,0.0,top
S16,232.105,-51.5,0.0,top
S17,251.155,-51.5,0.0,top
S18,270.205,-51.5,0.0,top
S19,174.955,-70.55,0.0,top
S2,48.59,-51.5,0.0,top
S20,194.005,-70.55,0.0,top
S21,213.055,-70.55,0.0,top
S22,232.105,-70.55,0.0,top
S23,251.155,-70.55,0.0,top
S24,270.205,-70.55,0.0,top
S25,86.69,-108.65,0.0,top
S26,105.74,-108.65,0.0,top
S27,124.79,-108.65,0.0,top
S28,174.955,-108.65,0.0,top
S29,194.005,-108.65,0.0,top
S3,67.64,-51.5,0.0,top
S30,213.055,-108.65,0.0,top
S4,86.69,-51.5,0.0,top
S5,105.74,-51.5,0.0,top
S6,124.79,-51.5,0.0,top
S7,29.54,-70.55,0.0,top
S8,48.59,-70.55,0.0,top
S9,67.64,-70.55,0.0,top
U1,150.02,-68.23,0.0,top
